tree -1.9978209 -4.919569 10
tree -2.312788 -8.101716 10
block wire -6 -12 89
block wire -5 -12 90
block wire -4 -12 91
block wire -3 -12 92
block wire -2 -12 93
block wire -1 -12 94
block wire -1 -11 93
block wire -1 -10 92
block wire -3 -10 90
block wire -4 -10 89
block wire -10 -8 71
block wire -9 -8 70
block wire -11 -8 72
block wire -12 -8 73
block wire -2 -10 91
block wire -5 -10 88
block wire -6 -10 87
block wire -8 -10 85
block wire -9 -10 84
block wire -12 -10 81
block wire -14 -10 79
block wire -15 -10 78
block wire -1 -8 62
block wire -1 -15 97
block wire -2 -8 63
block wire -13 -8 74
block wire -15 -9 77
block wire -5 -8 66
block wire -13 -10 80
block wire -7 -8 68
block wire -14 -8 75
block wire -15 -8 76
block wire -3 -8 64
block wire -4 -8 65
block wire -11 -10 82
block wire -10 -10 83
block wire -14 -14 83
block wire -5 -16 102
block wire -15 -14 82
block wire -10 -14 87
block wire -12 -14 85
block wire -14 -12 81
block wire -7 -12 88
block wire -15 -12 80
block wire -15 -13 81
block wire -1 -13 95
block wire -2 -16 99
block wire -1 -16 98
block wire -14 -16 111
block wire -15 -16 112
block wire -13 -14 84
block wire -13 -16 110
block wire -7 -10 86
block wire -6 -16 103
block wire -3 -14 94
block wire -2 -14 95
block wire -4 -14 93
block wire -12 -12 83
block wire -13 -12 82
block wire -7 -14 90
block wire -6 -8 67
block wire -11 -12 84
block wire -10 -12 85
block wire -6 -14 91
block wire -11 -14 86
block wire -9 -14 88
block wire -8 -12 87
block wire -9 -12 86
block wire -8 -8 69
block wire -3 -16 100
block wire -1 -14 96
block wire -5 -14 92
block wire -4 -16 101
block wire -8 -14 89
block wire -10 -16 107
block wire -7 -16 104
block wire -8 -16 105
block wire -9 -16 106
block wire -11 -16 108
block wire -12 -16 109
