rock 34.367302 20.39688 7
rock 39.86376 30.107815 10
tree 35.849644 18.992294 10
tree 37.94892 20.82024 10
block wire 32 16 0
block wire 44 25 0
block wire 44 23 0
block wire 32 31 0
block wire 32 30 0
block wire 32 29 0
block wire 34 30 0
block wire 34 31 0
block wire 34 29 0
block wire 36 31 0
block wire 35 30 0
block wire 33 26 0
block wire 33 25 0
block wire 33 23 0
block wire 33 24 0
block wire 34 23 0
block wire 36 26 0
block wire 36 24 0
block wire 36 25 0
block wire 36 23 0
block wire 37 23 0
block wire 38 23 0
block wire 38 24 0
block wire 38 25 0
block wire 38 26 0
block wire 37 26 0
block wire 40 26 0
block wire 40 25 0
block wire 40 24 0
block wire 40 23 0
block wire 41 26 0
block wire 42 25 0
block wire 41 24 0
block wire 44 26 0
